ReefName,SiteName,SiteNumber,Date,HardCoralCoverage,SoftCoralCoverage,LiveCoralCoverage,CoralBleachingPopulation,CoralBleachingColony
Magnetic Island Reefs,Nelly Bay,2,2019-11-24,21.25,0,21.25,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2019-11-24,8.125,0,8.125,NA,NA
Magnetic Island Reefs,Geoffrey Bay,4,2019-09-29,71.25,0,71.25,NA,NA
Magnetic Island Reefs,Geoffrey Bay,5,2019-09-29,45.625,0,45.625,NA,NA
Magnetic Island Reefs,Alma Bay,1,2019-09-28,36.875,0.625,37.5,NA,NA
Magnetic Island Reefs,Alma Bay,2,2019-09-28,22.5,3.125,25.625,NA,NA
Magnetic Island Reefs,Nelly Bay,2,2019-05-26,19.375,0.625,20,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2019-05-26,27.500000000000004,0,27.500000000000004,NA,NA
Magnetic Island Reefs,Florence Bay,1,2018-07-29,34.375,0.625,35,NA,NA
Magnetic Island Reefs,Middle Reef,1,2018-07-29,35.625,1.875,37.5,NA,NA
Magnetic Island Reefs,Middle Reef,2,2018-07-29,41.25,5,46.25,NA,NA
Magnetic Island Reefs,Geoffrey Bay,5,2018-05-05,41.25,0,41.25,NA,NA
Magnetic Island Reefs,Nelly Bay,5,2018-05-05,33.125,0,33.125,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2018-04-24,23.75,0.625,24.375,NA,NA
Magnetic Island Reefs,Alma Bay,2,2018-04-22,34.375,0.625,35,NA,NA
Magnetic Island Reefs,Geoffrey Bay,4,2018-04-22,61.25000000000001,0.625,61.87500000000001,NA,NA
Magnetic Island Reefs,Nelly Bay,4,2017-10-15,7.5,0.625,8.125,NA,NA
Magnetic Island Reefs,Alma Bay,1,2017-06-09,21.875,0,21.875,NA,NA
Magnetic Island Reefs,Alma Bay,2,2017-06-09,35.625,0.625,36.25,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2017-06-09,11.875,0,11.875,NA,NA
Magnetic Island Reefs,Florence Bay,2,2017-03-19,33.125,0,33.125,NA,NA
Magnetic Island Reefs,Geoffrey Bay,4,2017-03-19,60,0,60,NA,NA
Magnetic Island Reefs,Middle Reef,1,2017-03-18,40.625,0.625,41.25,NA,NA
Magnetic Island Reefs,Middle Reef,2,2017-03-18,38.125,6.25,44.375,NA,NA
Magnetic Island Reefs,Florence Bay,1,2016-06-26,25,0,25,NA,NA
Magnetic Island Reefs,Geoffrey Bay,4,2016-06-26,46.25,0.625,46.875,NA,NA
Magnetic Island Reefs,Middle Reef,1,2016-06-25,25.624999999999996,0.625,26.249999999999996,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2016-04-10,25,0,25,NA,NA
Magnetic Island Reefs,Alma Bay,1,2016-04-09,6.875000000000001,0.625,7.500000000000001,NA,NA
Magnetic Island Reefs,Alma Bay,2,2016-04-09,26.25,1.875,28.125,NA,NA
Magnetic Island Reefs,Alma Bay,1,2015-10-24,28.749999999999996,0.625,29.374999999999996,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2015-10-24,24.375,0,24.375,NA,NA
Magnetic Island Reefs,Florence Bay,2,2015-07-26,23.125,0,23.125,NA,NA
Magnetic Island Reefs,Geoffrey Bay,1,2015-07-26,23.125,0,23.125,NA,NA
Magnetic Island Reefs,Middle Reef,1,2015-07-25,23.75,1.25,25,NA,NA
Magnetic Island Reefs,Middle Reef,2,2015-07-25,35.625,0,35.625,NA,NA
Magnetic Island Reefs,Alma Bay,1,2014-08-23,22.5,3.125,25.625,NA,NA
Magnetic Island Reefs,Alma Bay,2,2014-08-23,14.374999999999998,0.625,14.999999999999998,NA,NA
Magnetic Island Reefs,Florence Bay,2,2014-06-14,23.125,1.25,24.375,NA,NA
Magnetic Island Reefs,Geoffrey Bay,1,2014-06-14,12.5,1.25,13.75,NA,NA
Magnetic Island Reefs,Nelly Bay,2,2014-06-11,23.75,0.625,24.375,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2014-05-11,16.25,0.625,16.875,NA,NA
Magnetic Island Reefs,Middle Reef,1,2014-05-04,5,0.625,5.625,NA,NA
Magnetic Island Reefs,Middle Reef,2,2014-05-04,41.875,2.5,44.375,NA,NA
Magnetic Island Reefs,Alma Bay,2,2013-06-16,15.625,3.125,18.75,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2013-04-21,13.125,0,13.125,NA,NA
Magnetic Island Reefs,Nelly Bay,2,2013-04-21,30.625000000000004,0,30.625000000000004,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2012-10-06,16.25,0,16.25,NA,NA
Magnetic Island Reefs,Alma Bay,1,2012-02-17,13.750000000000002,1.25,15.000000000000002,NA,NA
Magnetic Island Reefs,Florence Bay,2,2012-02-17,36.875,1.25,38.125,NA,NA
Magnetic Island Reefs,Geoffrey Bay,1,2011-10-01,25.624999999999996,1.25,26.874999999999996,NA,NA
Magnetic Island Reefs,Geoffrey Bay,1,2010-05-15,22.5,0.625,23.125,NA,NA
Magnetic Island Reefs,Geoffrey Bay,2,2010-05-15,31.874999999999996,0,31.874999999999996,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2009-07-07,40,0,40,NA,NA
Magnetic Island Reefs,Nelly Bay,2,2009-07-07,36.875,0,36.875,NA,NA
Magnetic Island Reefs,Geoffrey Bay,1,2009-07-06,13.125,0,13.125,NA,NA
Magnetic Island Reefs,Geoffrey Bay,3,2009-07-06,32.5,0,32.5,NA,NA
Magnetic Island Reefs,Middle Reef,1,2009-06-23,16.25,0.625,16.875,NA,NA
Magnetic Island Reefs,Middle Reef,2,2009-06-23,41.25,0,41.25,NA,NA
Magnetic Island Reefs,Alma Bay,1,2009-06-13,25.624999999999996,1.25,26.874999999999996,NA,NA
Magnetic Island Reefs,Alma Bay,2,2009-06-13,21.25,0,21.25,NA,NA
Magnetic Island Reefs,Geoffrey Bay,2,2009-04-18,25,0,25,NA,NA
Magnetic Island Reefs,Alma Bay,2,2008-06-20,63.74999999999999,1.875,65.625,NA,NA
Magnetic Island Reefs,Geoffrey Bay,1,2008-06-20,66.25,0.625,66.875,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2008-05-18,73.125,0,73.125,NA,NA
Magnetic Island Reefs,Middle Reef,1,2007-09-23,42.5,5,47.5,NA,NA
Magnetic Island Reefs,Middle Reef,2,2007-09-23,50,6.875000000000001,56.875,NA,NA
Magnetic Island Reefs,Florence Bay,1,2007-07-21,38.125,1.25,39.375,NA,NA
Magnetic Island Reefs,Picnic Reef,1,2007-07-15,40,0.625,40.625,NA,NA
Magnetic Island Reefs,Picnic Reef,2,2007-07-15,31.874999999999996,2.5,34.375,NA,NA
Magnetic Island Reefs,Picnic Reef,3,2007-07-15,18.125,7.5,25.625,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2007-03-31,74.375,2.5,76.875,NA,NA
Magnetic Island Reefs,Geoffrey Bay,1,2007-03-24,45,0.625,45.625,NA,NA
Magnetic Island Reefs,Geoffrey Bay,2,2007-03-24,25,0,25,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2006-11-12,64.375,0,64.375,NA,NA
Magnetic Island Reefs,Nelly Bay,2,2006-11-12,73.75,0,73.75,NA,NA
Magnetic Island Reefs,Picnic Reef,1,2006-10-15,50.625,0,50.625,NA,NA
Magnetic Island Reefs,Picnic Reef,2,2006-10-15,35,1.875,36.875,NA,NA
Magnetic Island Reefs,Picnic Reef,3,2006-10-15,11.875,0,11.875,NA,NA
Magnetic Island Reefs,Florence Bay,1,2006-10-08,29.375,0,29.375,NA,NA
Magnetic Island Reefs,Florence Bay,2,2006-10-08,45.625,0.625,46.25,NA,NA
Magnetic Island Reefs,Picnic Reef,1,2006-02-19,40,1.25,41.25,NA,NA
Magnetic Island Reefs,Picnic Reef,2,2006-02-19,35.625,3.125,38.75,NA,NA
Magnetic Island Reefs,Picnic Reef,3,2006-02-19,8.75,5,13.75,NA,NA
Magnetic Island Reefs,Middle Reef,1,2006-02-18,45.625,1.25,46.875,NA,NA
Magnetic Island Reefs,Middle Reef,2,2006-02-18,5.625,1.875,7.5,NA,NA
Magnetic Island Reefs,Middle Reef,3,2006-02-18,6.875000000000001,30.625000000000004,37.50000000000001,NA,NA
Magnetic Island Reefs,Picnic Reef,3,2005-10-15,20,3.75,23.75,NA,NA
Magnetic Island Reefs,Picnic Reef,2,2005-10-15,11.25,5,16.25,NA,NA
Magnetic Island Reefs,Picnic Reef,1,2005-10-15,28.749999999999996,0,28.749999999999996,NA,NA
Magnetic Island Reefs,Middle Reef,1,2005-09-10,56.875,2.5,59.375,NA,NA
Magnetic Island Reefs,Middle Reef,2,2005-09-10,35.625,6.875000000000001,42.5,NA,NA
Magnetic Island Reefs,Middle Reef,3,2005-09-10,40,18.125,58.125,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2005-03-28,61.25000000000001,0.625,61.87500000000001,NA,NA
Magnetic Island Reefs,Nelly Bay,2,2005-03-28,52.5,0,52.5,NA,NA
Magnetic Island Reefs,Alma Bay,2,2005-03-27,51.24999999999999,0.625,51.87499999999999,NA,NA
Magnetic Island Reefs,Geoffrey Bay,3,2005-03-27,33.75,0,33.75,NA,NA
Magnetic Island Reefs,Alma Bay,1,2005-02-13,18.125,0.625,18.75,NA,NA
Magnetic Island Reefs,Geoffrey Bay,2,2005-02-13,22.5,1.25,23.75,NA,NA
Magnetic Island Reefs,Geoffrey Bay,1,2005-02-12,45,0.625,45.625,NA,NA
Magnetic Island Reefs,Alma Bay,1,2004-01-29,11.25,0.625,11.875,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2003-12-15,50.625,1.875,52.5,NA,NA
Magnetic Island Reefs,Nelly Bay,1,2003-06-08,41.25,2.5,43.75,NA,NA
Magnetic Island Reefs,Geoffrey Bay,1,2003-05-25,15.625,2.5,18.125,NA,NA
Magnetic Island Reefs,Nelly Bay,2,2003-04-17,35.625,0,35.625,NA,NA
